table,seq,column,is_pk,is_fk,id,type,size,description
pdd_puf,1,id,1,,t03V01,INTEGER,,"Public Discharge Data, Public Use File"
pdd_puf,2,oshpd_id,,,c03V01002,INTEGER,6,"Hospital Identification Number. A unique six-digit identifier assigned to each facility by the Office of Statewide Health Planning and Development. The first two digits indicate the county in which the facility is located. The last four digits are unique within each county. Appendix F - Counts by Facility (Discharges) (PDD) lists facility ID number, name, and number of discharges."
pdd_puf,3,typ_care,,,c03V01003,VARCHAR,33,"Type of Care. Defined by the California Health and Safety Code, this refers to thelicensure of the bed occupied by an inpatient. The types ofcare aredocumented on the official license issued by CDPH Licensing andCertification Division."
pdd_puf,4,los,,,c03V01004,INTEGER,5,Length of Stay. Total number of days from admission date to discharge date. Patients admitted and discharged on the same day are assigned a length of stay of 0 days.
pdd_puf,5,adm_src,,,c03V01005,VARCHAR,3,"Source of Admission. The site and licensure where the patient originated and the route by which the patient was admitted. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/SourceAdmission.pdf."
pdd_puf,6,adm_type,,,c03V01006,VARCHAR,21,Type of Admission. When the patients admission was arranged.
pdd_puf,7,disp,,,c03V01007,VARCHAR,44,"Disposition. The consequent arrangement or event ending a patients stay in the hospital. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/Disposition.pdf."
pdd_puf,8,pay_cat,,,c03V01008,VARCHAR,23,"Expected Source of Payment  Payer Category. The type of entity or organization expected to pay the greatest share of the patients bill. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/ExpectedSourcePayment.pdf."
pdd_puf,9,pay_type,,,c03V01009,VARCHAR,30,"Expected Source of Payment  Type of Coverage. Indicates the type of coverage (HMO, non-HMO managed care, or Fee-for-Service) for the following reported categories: Medicare, Medi-Cal, Private Coverage, Workers' Compensation, County Indigent Programs, and Other Government. Type of coverage is not reported for the following categories: Other Indigent, Self Pay, or Other Payer. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/ExpectedSourcePayment.pdf."
pdd_puf,10,ecode_p,,,c03V0100a,VARCHAR,5,"External Cause of Injury  Principal E-Code. The external cause of injury or poisoning or adverse effect code (E800-E999) which describes the mechanism that resulted in the most severe injury, poisoning, or adverse effect related to the admission. An E-Code is to be reported on the record for the first episode of care reportable to OSHPD during which the injury, poisoning, and/or adverse effect was diagnosed and/or treated. They are coded according to the ICD-9-CM. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,11,epoa_p,,,c03V0100b,VARCHAR,25,"Present on Admission (POA)  Principal E-Code. An External Cause of Injury is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting on principle E-Codes for all reported discharges on or after July 1, 2008. POA values E and 1 were discontinued as a national standard as of July 1, 2011, however OSHPD continues to accept them. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
